"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"48","io45207","Amsinckia intermedia","Aaron Sunshine","Midpeninsula Regional Open Space District",2021-04-14,"Santa Cruz","high",37.268832,-122.148008,"Long Ridge OSP",78,"Amsinckia intermedia",NA,NA
"49","io45461","Amsinckia intermedia","Lucy Ferneyhough",NA,2021-03-13,"Monterey","high",36.834938,-121.617287,NA,314,"Amsinckia intermedia",NA,NA
"50","io45936","Amsinckia intermedia","Mary Conway",NA,2021-04-22,"Santa Clara","high",37.05895,-121.21408,NA,78,"Amsinckia intermedia",NA,NA
"51","io46548","Amsinckia intermedia","Aaron Sunshine","Midpeninsula Regional Open Space District",2021-04-29,"Santa Clara","high",37.332499,-122.175232,"Los Trancos OSP, east of gate LT01.",78,"Amsinckia intermedia",NA,NA
"52","io49774","Amsinckia intermedia","Aaron Sunshine","Midpeninsula Regional Open Space District",2021-05-25,"San Mateo","high",37.30036,-122.203708,"Skyline Ridge, Big Dipper Ranch, along ridge-line.",78,"Amsinckia intermedia",NA,NA
"53","io62143","Amsinckia intermedia","Cynthia Powell",NA,2022-03-13,"Santa Clara","high",37.39847,-121.80723,NA,78,"Amsinckia intermedia",NA,NA
"54","io63273","Amsinckia intermedia","Sameer Saroa","Irvine Ranch Conservancy",2022-03-14,"Orange","high",33.75086,-117.69323,"Limestone Canyon (OC)",50,"Amsinckia intermedia","Flowering","F"
"55","io65854","Amsinckia intermedia","Chris McDonald",NA,2022-04-26,"San Bernardino","high",33.98714,-117.66682,NA,50,"Amsinckia intermedia",NA,NA
"56","io80883","Amsinckia intermedia","Mike Russler",NA,2023-01-13,"Fresno","high",36.718063,-119.331405,"Hwy 180 Kings Canyon Road",50,"Amsinckia intermedia",NA,NA
"57","io80885","Amsinckia intermedia","Mike Russler",NA,2023-01-13,"Fresno","high",36.718075,-119.331397,"Hwy 180 Kings Canyon Road",50,"Amsinckia intermedia",NA,NA
"58","io84260","Amsinckia intermedia","David Strauch",NA,2023-03-23,"Los Angeles","high",34.138333,-118.542328,"Caballero Canyon, Mulholland Gateway Park, Santa Monica Mountains",50,"Amsinckia intermedia","Flowering","F"
"59","io85470","Amsinckia intermedia","John Rawlings","Jasper Ridge Biological Preserve (JRBP/JROH)",2023-04-11,"San Mateo","high",37.398945,-122.234025,"Jasper Ridge, Trail 12",50,"Amsinckia intermedia","Flowering","F"
"60","io88912","Amsinckia intermedia","Keir Morse",NA,2023-05-10,"Santa Barbara","high",34.40406,-119.73789,NA,50,"Amsinckia intermedia",NA,NA
"61","io92301","Amsinckia intermedia","Keir Morse",NA,2023-05-30,"Los Angeles","high",34.36058,-118.39164,NA,50,"Amsinckia intermedia",NA,NA
"62","mg106407","Amsinckia intermedia","David popp",NA,2020-02-21,"Butte","high",39.702216,-121.761122,"Camp 2018",134,"Amsinckia intermedia","Flowering","F"
"63","mg106638","Amsinckia intermedia","David popp",NA,2020-02-28,"Tehama","high",39.912816,-121.959167,NA,47,"Amsinckia intermedia","Flowering","F"
"64","mg106898","Amsinckia intermedia","David popp",NA,2020-03-02,"Tehama","high",40.104021,-122.049221,NA,2040,"Amsinckia intermedia","Flowering","F"
"65","mg107749","Amsinckia intermedia","David popp",NA,2020-03-11,"Butte","high",39.810968,-121.64019,NA,231,"Amsinckia intermedia","Flowering","F"
"66","mg108180","Amsinckia intermedia","R.A. Chasey",NA,2020-03-21,"Contra Costa","high",37.968283,-122.205356,NA,144,"Amsinckia intermedia",NA,NA
"67","mg108361","Amsinckia intermedia","David popp",NA,2020-03-26,"Butte","high",39.560447,-121.603373,"#fire",2567,"Amsinckia intermedia","Flowering","F"
"68","mg108438","Amsinckia intermedia","David popp",NA,2020-03-30,"Butte","high",39.770625,-121.626618,"Camp 2018",393,"Amsinckia intermedia","Flowering","F"
"69","mg108560","Amsinckia intermedia","Cynthia Powell",NA,2020-04-04,"Contra Costa","high",37.945742,-122.260297,NA,511,"Amsinckia intermedia",NA,NA
"70","mg108592","Amsinckia intermedia","David popp",NA,2020-04-07,"Butte","high",39.505993,-121.574994,NA,1631,"Amsinckia intermedia","Flowering","F"
"71","mg11534","Amsinckia intermedia","Chris Jaster","Marin County Parks data pro",2015-05-04,"Marin","high",38.001705,-122.640032,"GARY GIACOMINI",113,"Amsinckia intermedia",NA,NA
"72","mg127385","Amsinckia intermedia","David popp",NA,2021-03-05,"Butte","high",39.822961,-121.712282,NA,231,"Amsinckia intermedia","Flowering","F"
"73","mg127557","Amsinckia intermedia","David popp",NA,2021-03-09,"Butte","high",39.637638,-121.578414,NA,50,"Amsinckia intermedia","Flowering","F"
"74","mg127936","Amsinckia intermedia","David popp",NA,2021-03-13,"Butte","high",39.724033,-121.611366,NA,90,"Amsinckia intermedia","Flowering","F"
